id,year,Source,PageNumber,BeginningWords,Date,Length,FrontPage,Description,subissue,issue
2,1946,NYT Index 1946,3,Bail for Dr,11/24/2046,9,0,"Bail for Dr  A. Flandina and V.  Ryder halved at their arraignment, NYC. Dr. I Epstein charged with recommending Flandina's services held in bail (subject-abortion)",20081,2
117,1946,NYT Index 1946,233,rejects Negro application,10/31/2046,9,0,Cincinati Bar Asociation rejects Negro application; member resigns in protest,201,2
140,1946,NYT Index 1946,279,E G Brown,11/18/2046,9,0,"E G Brown, Natl Negro Council dir, urges hearings be held in Washington, DC; says Negro witness could not otherwise testify without fear of violence; suggest Sen E withdraw as investigation chief",201,2
326,1946,NYT Index 1946,651,resolutions com brings,5/24/1946,9,0,"Natl Society of the American Revolution: resolutions com brings controversial resolution on 'white artists only' clause to floor; Mrs E C D Vann defends resolution, then withdraws it; comments on tactics",201,2
568,1946,NYT Index 1946,1135,Hotel and restaurant,8/16/1946,9,0,Hotel and restaurant employes union urges State to outlaw employment of women as barmaids.,202,2
585,1946,NYT Index 1946,1169,on Mayor's Unity,1/24/1946,9,0,comment on Mayor's Unity Com rept on discrimination in higher educ insts.,200,2
679,1946,NYT Index 1946,1357,CIO Air Transport,8/7/1946,9,0,"KU KLUX Klan: CIO Air Transport Workers maintenance workers unit charges Klan threatened life of R Winfield, Pan Amer Airways Negro employe and union shop steward, Miami, Fla.",201,2
750,1946,NYT Index 1946,1499,Dr L D,9/15/1946,9,0,Dr L D Newton comments ( Arnall denies knowledge of identification or arrest of lynching suspects reptd by Washington Post;Truman says Fed investigation is being pursued energetically.),201,2
952,1947,NYT Index 1947,145,Missouri Valley Conf,12/14/2047,9,0,Missouri Valley Conf votes to end racial discrimination at member schools; full compliance with Natl Coll AA code voted,201,2
1031,1947,NYT Index 1947,303,Gets Racial Understanding Council award,6/3/1947,9,0,(Dr) C H Brown Gets Racial Understanding Council award,201,2
1084,1947,NYT Index 1947,409,announces Eisler demand,3/17/1947,9,0,(Civil rights)  Civil Rights Congress announces Eisler demand for apptmt of Enemy Alien Bd to determine disposition of his case,209,2
1449,1947,NYT Index 1947,1139,files non-Communist affidavit,10/15/2047,9,0,Internal Jewelry Workers Union files non-Communist affidavit,209,2
1470,1947,NYT Index 1947,1181,"A friendly testifies, Cong com",2/25/1947,9,0,Cong testimony (on alleged Communist activities in TVA),209,2
1580,1947,NYT Index 1947,1401,ed lauding rept,10/31/2047,9,0,editorial lauding rept [on civil rights] for stress on human equality,200,2
1740,1947,NYT Index 1947,1721,by M Johnson,9/18/1947,9,1,Councilman Quill charged by M Johnson of having communist ties,209,2
1785,1947,NYT Index 1947,1811,Offers equal rights,1/10/1947,9,0,Repr Robison offers equal rights for women amendment,202,2
1991,1947,NYT Index 1947,2223,16 denied motion,7/12/2047,9,0,"16 [members of Joint Anti-Fascist Refugee Com, convicted of contempt of Cong] denied motion for new trial [by HUAC]",209,2
2009,1947,NYT Index 1947,2259,Jewish War Veterans,12/31/2047,9,0,Jewish War Veterans NY Dept to require new members to sign anti-Communist pledge,209,2
2030,1947,NYT Index 1947,2301,Urges Ga Legis,1/29/2047,9,0,A T Walden urges GA Legis hearing on white primary issue,206,2
2058,1947,NYT Index 1947,2357,Yale Univ psychiatrist,3/5/2047,9,0,Yale Univ psychiatrist testifies in Winsor censorship case in Massachusetts; judge says it put him to sleep,207,2
2104,1948,NYT Index 1948,43,com establishment to,10/10/2048,9,0,Com establishment to campaign for increased Negro vote urged at NAACP conf,206,2
2139,1948,NYT Index 1948,113,Reorganized,7/9/1948,9,0, (Bill of Rights) is reorganized,200,2
2178,1948,NYT Index 1948,193,V Dabney says,4/16/1948,9,0,Dabney says no southern newspaper backs Pres Truman program (civil rights),201,2
2179,1948,NYT Index 1948,195,D E Lilienthal,11/1/1948,9,0,Lilienthal sees dogmatic attitudes greatest threat (civilization),200,2
2249,1948,NYT Index 1948,337,Sen Sparkman says,3/23/1948,9,0,Sen Sparkman says average Negro is not sufficiently interested in pol to vote,206,2
2355,1948,NYT Index 1948,549,'47 gains revd,5/16/1948,9,0,'47 gains revd (Hamilton Grange Interracial Discussion Group),201,2
2433,1948,NYT Index 1948,705,C E Thompson,9/12/1948,9,0,Thompson finding that Negroes respond inadequately to pictures of whites in Murray psychological test and resulting test adjustment described,201,2
2610,1948,NYT Index 1948,1059,Atty Gen Goldstein,1/12/1948,9,0,Atty Gen Goldstein repts gains in checking racial and religious bias by pub accommodation in NYS resorts,200,2
2637,1948,NYT Index 1948,1115,NAACP exec sec,6/28/1948,9,0,NAACP exec sec urges Truman to issue order prohibiting discrimination,201,2
2693,1949,NYT Index 1949,15,"African Affairs, Council on",6/20/1949,9,0,"Council on African Affairs sponsors rally for P Robeson, NYC.",201,2
2712,1949,NYT Index 1949,53,Lr asks Fed anti-lynch legis,1/16/1949,9,0,Lr asks Fed anti-lynch legis,201,2
2793,1949,NYT Index 1949,215,W White resignation,5/11/1949,9,0,(Natl Assn for Colored People):W White resignation rejected,201,2
2917,1949,NYT Index 1949,463,Withdrawn as speaker,1/23/1949,9,0,"Gus Hall withdrawn as speaker at ALP rally, Yonkers, at request of meeting-place officials",209,2
2973,1949,NYT Index 1949,575,L B Granger lr on,3/7/1949,9,0,lr on Feb 28 ed on NYS Comm Against Discrimination,201,2
3049,1949,NYT Index 1949,727,NYS Eds Soc backs Desmond,2/1/1949,9,0,NYS Eds Soc backs Desmond-Mailler newsmen's confidence bill conf; Dist Attys Assn opposition noted,200,2
3213,1949,NYT Index 1949,1057,Fed Ct rules that,12/8/1949,9,0,"Fed Cut rules that classification during video program of a Govt employe as being a Communist is slanderous per se, W Remington libel case motion ruling",209,2
3214,1949,NYT Index 1949,1059,Sen (McCarran) subcom,12/18/2049,9,0,Sen (McCarran) subcom member Sen O'Conor urges Justice Dept and FCC to probe Gdnyia-Amer Line,209,2
3215,1949,NYT Index 1949,1061,Medina rebukes defense,2/18/1949,9,0,(Communist Leaders espionage trail): (Judge) Medina rebukes defense attys during McKenzie cross-exam; US Atty McGohey gets word of nomination for reapptmt to post during trial session,209,2
3216,1949,NYT Index 1949,1063,Gates held in contempt for,6/3/1949,9,1,(Communist Leaders espionage trail): Gates held in contempt for refusing to answer question Dennis CP position; (Judge) Medina reserves decision on defense objection to question of identifying CP officials; Gates revs testimony he gave before Sen com,209,2
3217,1949,NYT Index 1949,1065,Dennis ends statement,10/13/2049,9,0,(Communist Leaders espionage trail): Dennis ends statement; US Atty McGohey summation; he contends Govt proved conspiracy charge,209,2
3218,1949,NYT Index 1949,1067,Judge Ryan begins,11/15/2049,9,0,(Communist Leaders espionage trail): Judge Ryan begins hearing pre-trail testimony on Coplon moves to bar 2d trail; Palmer questions FBI agent R Grantville on arrest intention,209,2
3219,1949,NYT Index 1949,1069,Chambers cross-examined and,6/8/1949,9,1,(Communist Leaders espionage trail):  Chambers  examination of perjury and defending acts; Chambers testifies on infiltration of Communist Party; his statement to Un-Amer Activities Com,209,2
3220,1949,NYT Index 1949,1071,US Atty Murphy,12/22/2049,9,0,(Communist Leaders espionage trail):  US Atty Murphy cross-examines Hiss on his Un-Amer Activities Com testimony on Chambers auto and on Chambers-Hiss confrontation in '48; State Dept Passport Div head lr on Field disappearance read,209,2
3273,1950,NYT Index 1950,15,F J Hertel,5/7/1950,9,0,Hertel urges wrong conceptions about aged be changed,204,2
3291,1950,NYT Index 1950,51,E Cantor warns,10/2/1950,9,0,"E Cantor warns against loyalty blacklisting, US; cites I Wicker case",209,2
3307,1950,NYT Index 1950,83,POLITICS AND GOVT:,6/21/1950,9,0,"bill outlawing Comunist party again passes 2d reading, House",209,2
3365,1950,NYT Index 1950,199,Judge Medina warns,12/14/1950,9,0,Judge Medina warns against discarding [civil] rights during [communist] crisis,209,2
3384,1950,NYT Index 1950,237,Sir G Jebb,9/20/1950,9,0,article on evils of Communism,209,2
3593,1950,NYT Index 1950,655,P Draper and,3/1/1950,9,0,"P Draper and L Adler answer Mrs H R McCullough's [libel and slander] pre-trial questions, citing group links; Adler admits Soviet-Amer Friendship Council tie at request of S Koussevitsky",209,2
3635,1950,NYT Index 1950,739,"Scott, Hazel: refuses",3/24/1950,9,0,"musician  refuses to play before segregated audience, UNC, Chapel Hill",201,2
3638,1950,NYT Index 1950,745,Election; Dr Bethune,10/30/1950,9,0,Assn for the Study of Negro Life and History elects pres,201,2
3639,1950,NYT Index 1950,747,RELIGION:  Presbs end,6/24/1950,9,0,"Presbs end segregation at ch resort, Montreat, NC",201,2
3647,1950,NYT Index 1950,763,PUERTO RICANS:  Mayor's,4/21/1950,9,0,Mayor's Com on PR Affairs subcoms rept; econ program stressed,200,2
3786,1950,NYT Index 1950,1041,COMMUNISM AND SUBVERSIVE,12/1/1950,9,0,M Moss pledges to enforce NYC Regents rulings under Feinberg law re: Communism and subversive activity control of teachers,209,2
3842,1950,NYT Index 1950,1155,defense and prosecution,1/19/1950,9,0,defense and prosecution summations on FBI wiretap issue; pre-trial hearings end,209,2
3844,1950,NYT Index 1950,1159,lrs on bill,6/19/1950,9,0,letters on [anti-Communist] bill before Cong,209,2
3863,1950,NYT Index 1950,1197,Lattimore statement on,4/9/1950,9,0,article on McCarthy speech; Under-Sec Peurifoy statement; pub Amer Foreign Service Journal ed on probe,209,2
3864,1950,NYT Index 1950,1199,Repub Sens M,6/2/1950,9,1,Repub Sens issue Declaration of Conscience denouncing McCarthy tactics; Adm [State Dept] scored for lack of leadership; Tydings and Truman comment,209,2
3931,1951,NYT Index 1951,79,Ford Local 600,1/15/1951,9,0,Ford Local 600 votes bars Communists from holding offices,209,2
4058,1951,NYT Index 1951,333,to represent 16,8/21/1951,9,0,Prof T I Emerson to represent 16 Communist leaders on pre-trial motions,209,2
4072,1951,NYT Index 1951,361,Rev Dr B C Eckardt,6/9/1951,9,0,Rev Eckardt named chmn of F L Wright Foundation,200,2
4099,1951,NYT Index 1951,415,Appeals Ct rules,12/21/1951,9,0,"(Golf--US): Appeals Ct rules Negroes may use Houston, Tex munic links (when whites are barred)",201,2
4194,1951,NYT Index 1951,605,freed after 6-wk,2/2/1951,9,0,"Roman Kutylowski freed after detention, Ellis IS, under Internal security Act",209,2
4252,1951,NYT Index 1951,721,"Emancipation Proclamation observance, NYC",1/2/1951,9,0,"(US Negroes):  Emancipation Proclamation observance, NYC",201,2
4275,1951,NYT Index 1951,767,Sigma Dlta Chi,12/22/1951,9,0,( Pres Truman will sign order tightening curbs on news from non-defense Govt agencies):  Sigma Dlta Chi bares J Short attack on fratemity resolution scoring order; reiterates attack on order as threat to freedom,207,2
4426,1951,NYT Index 1951,1071,investigatory procedures,5/27/1951,9,0,a lr on Sen Crime investorating com innovations as precedent for procedures which would impair Const guarantees of civil rights and judicial process,200,2
4435,1951,NYT Index 1951,1089,Loyalty Rev Bd,5/19/1951,9,0,Loyalty Rev Bd annouces it will reexamine some cases under new reasonable doubt standard; orders dept bds to rejudge doubtful cases,209,2
4442,1951,NYT Index 1951,1103,"Gates, Potash, Stachel",7/3/1951,9,0,"some communist party leaders who surrendered to serve jail terms, illus",209,2
4443,1951,NYT Index 1951,1105,Metzger refuses,8/31/1951,9,0,(Internal security):  (Communist leader) Metzger refuses to disqualify self (under Smith Act),209,2
4444,1951,NYT Index 1951,1107,"Ferrer testifies, repeating",5/26/1951,9,0,"(internal security):  Ferrer testifies in House hearings, repeating denials of Communist links.",209,2
4445,1951,NYT Index 1951,1109,Govt cross-exam,1/18/1951,9,0,Govt cross-exam of Bryan shows discrepancies in current and indicting grand jury testimony on CP memebership cards and dues; cites Bryan Ark arrests,209,2
4581,1952,NYT Index 1952,169,"Cumberland, Md, plant",8/6/1952,9,0,"(Celanese Corp of America); Md plant conditions cited, Communist leaders trial",209,2
4607,1952,NYT Index 1952,221,Prof Hildebrand urges,9/19/1952,9,0,Prof Hildebrand urges Amre Assn of Univ Profs abandon '47 stand on communism that supporters are not necessarily subversive however subversive movemnt is,209,2
